Prozess,Anforderungs-nummer,Bereits implementiert,Umsetzungskonzept,Abstimmung 14.04.2026,Anforderungstext,Funktionalität von Asneinl4Win,Besprechungsnotizen,Entscheidung,Schätzung in PT min ,Schätzung in PT max,Schätzung in PT min ,Schätzung in PT max,bereits gemacht ,Confidence Schulnote,,
P-KS-RE,A-KS-RE-02,,X,X,"A-KS-RE-02: Zusätzlich sollen bei der Erstellung des Rezepts folgende Informationen eingetragen werden: ""Beitrag frei"", Personennummer, IK-Nummer der AfA, Adresse der AfA, das Erstellungsdatum, Rezept-ID (fortlaufende Nummerierung zur eindeutigen Identifizierung der erstellten Rezepte).",TEIWLEISE,,Wie geplant - Umsetzen,0,0,0,0,,,,
P-KS-RE,A-KS-RE-03,,X,X,"A-KS-RE-03: Zusätzlich sollen bei der Erstellung des Rezepts folgende Informationen eingetragen werden können: Dosierung, Medikamenteneinnahmeart, Packungsgröße, Einnahmeintervall, PZN-Nummer.",X,,,0,0,0,0,,,,
P-KS-RE,A-KS-RE-04,,X,X,"A-KS-RE-04: Bei der Erstellung des Rezeptes muss es möglich sein, automatisch eingetragene Informationen noch nachträglich manuell zu ändern.",X,,,0,0,0,0,,,,
P-KS-RE,A-KS-RE-05,,X,X,A-KS-RE-05: Der Ausdruck des Rezepts soll vom Asylverwaltungsprogramm mit allen gängigen Rezeptdruck-Geräten unterstütz werden.,X,,,2,3,2,3,,2,,
P-KS-RE,A-KS-RE-06,,X,X,"A-KS-RE-06: Soll ein Rezept für einen Patienten/eine Patientin ausgestellt werden, soll das Asylverwaltungsprogramm dies mit möglichst wenigen manuellen Arbeitsschritten ermöglichen.",X,,,0,0,0,0,,,,
P-KS-RE,A-KS-RE-07,,X,X,A-KS-RE-07: Ausgestellte Rezepte muss automatisch der Patientenakte hinzugefügt werden.,X,,,2,3,2,3,,2,,
P-KS-RE,A-KS-RE-08,,X,X,"A-KS-RE-08: Bei Bedarf soll das Asylverwaltungsprogramm die Möglichkeit bieten, bereits zuvor ausgestellte Rezepte erneut unter tagesaktuellem Datum auszustellen/auszudrucken.",,,,2,3,0,0,,2,,
P-KS-RE,A-KS-RE-09,,X,X,"A-KS-RE-09: Im Asylverwaltungsprogramm muss sich das Rezept ""Sprechstundenbedarf"" erstellen lassen. Dies muss die Angeben ""Beitrag frei"", IK-Nummer der AfA, Adresse der AfA, das Erstellungsdatum, Rezept-ID (fortlaufende Nummerierung zur eindeutigen Identifizierung der erstellten Rezepte) enthalten.",X,,,2,3,2,3,,3,,
P-KS-GA,A-KS-GA-03,,,"X
(Ex- und Import in AMIS wird ermöglicht, Transport erfolgt außerhalb von AMIS)","A-KS-GA-03: War eine Bewohner:in im Gesundheitsamt, muss dies in der Patientenakte mit Datum eingetragen werden können.",X,,,3,5,3,5,,4,,
P-KS-GA,A-KS-GA-04,,,,"A-KS-GA-04: Alle Befunde, die aus dem Gesundheitsamtstermin resultieren (gleich ob durch das Gesundheitsamt oder die AfA durchgeführt), sollen sich gesammelt und separat von sonstigen Befunden einsehen lassen.",X,,,4,6,4,6,,5,,
P-KS-TV,A-KS-TV-02,X,,X,A-KS-TV-02: Die für Patient:innen vereinbarten Arutztermine (in der AfA oder extern) sollen sich in einer Übersicht tageweise darstellen lassen. Alternativ kann eine Synchronisation mit dem Terminverwaltungsprogramm (z.B. Outlook-Kalender) der Krankenstation erfolgen.,,,,0,0,0,0,,,,
P-KS-KÜ,A-KS-KÜ-01,,X,X,"A-KS-KÜ-01: Wenn eine Kostenübernahme für die medizinische Behandlung einer Bewohner:in erfolgen soll, soll es aus der Patientenakte heraus möglich sein, das Ausfüllen eines entsprechenden Vordrucks (vgl. A-SYS-VD-02) für den Nachweis für die Kostenübernahme anzustoßen.",X,,,2,3,2,3,,2,,
P-KS-KÜ,A-KS-KÜ-02,,X,X,"A-KS-KÜ-02: Wird eine Kostenübernahme in der Patientenakte erstellt, soll es möglich sein, dass die Personennummer, die ID des Familienverbunds, der Name der/des Bewohner:in, das Geburtsdatum, Name und Anschrift des Arztes automatisch eingetragen wird. Als essentielle Bestandteile der Kostenzusicherung sollen die VKNR (Vertragskassennummer) und IK-Nummer (Institutionskennzeichen) der jeweiligen AfA automatisch eingetragen werden. Zusätzlich sollen sich weitere Informationen in Form eines Bemerkungsfeldes eintragen lassen. Wenn gewünscht, kann die durchzuführende Untersuchung/Behandlung ebenfalls mit auf der Kostenübernahme mit eingetragen werden.",X,,,1,2,1,2,,2,,
P-KS-KÜ,A-KS-KÜ-03,,X,X,"A-KS-KÜ-03: Wird eine Kostenübernahme erstellt, soll diese automatisch der Patientenakte der Bewohner:in zugeordnet werden, indem ein Freitext-Dokumentations-Eintrag mit voreingetragenen Text und einer PDF-Version der Kostenübernahme als Anhang erstellt wird (vgl. A-SYS-FD-09).",X,,,1,2,1,2,,3,,
P-KS-KÜ,A-KS-KÜ-07,,X,X,A-KS-KÜ-07: Das zusätzliche Dokument soll entweder als eigener Eintrag in der Patientenakte gespeichert werden können oder als Ergänzung zu einem bereits bestehenden Eintrag.,X,,,2,3,2,3,,2,,
P-KS-KÜ,A-KS-KÜ-08,,X,X,A-KS-KÜ-08: Die beiden erstellten Dokumente (Kostenübernahme und Untersuchungs-/Behandlungs-Grund) sollen entweder jeweils als eigener Freitexeintrag in der Patientenakte gespeichert werden können (vgl. A-SYS-FD-01) oder als Folge-Eintrag zu einem bereits bestehenden Eintrag (vgl. A-SYS-FD-03).,X,,,2,3,2,3,,3,,
P-KS-KÜ,A-KS-KÜ-10,,X,X,"A-KS-KÜ-10: Nach Abschluss der Behandlung soll sich die Kostenabrechnung der Patientenakte (als Freitext-Eintrag mit Dokumenten-Anhang, vgl. A-SYS-FD-07) und der Leistungsakte (vgl. Kapitel 4.1.15) anfügen lassen. Dem Leistungsakten-Eintrag soll der Rechnungsbetrag als auswertbare Zahl beigeordnet werden.",TEILWEISE,Kostenabrechnung kann der Patientenakte beigefügt werden. Betrag kann NICHT Verrechnet werden,Wie geplant - Umsetzen,4,6,4,6,,6,,
P-SD-LM,A-SD-LM-01,X,,X,"A-SD-LM-01: Das Asylverwaltungsprogramm muss Nutzer:in mit entsprechenden Rechten die Möglichkeit bieten, die Liegenschaften der AfAs über verschiedene Ebenen bis zur Ebene von einzelnen Betten anzulegen, zu bearbeiten und zu löschen.",X,Liegenschaftsmagement ist abweichend von den Anfoderungen bereits implemntiert und von der ADD abgenommen worden,,0,0,0,0,,,,
P-SD-LM,A-SD-LM-02,X,,X,A-SD-LM-02: Jedem Bett in einem Zimmer/einer Halle muss (bis zu) eine Bewohner:in zugeordnet werden können. Jeder/jedem Bewohner:in muss immer genau ein Bett zugeordnet sein. Die Belegung eines Bettes muss mit dem Eintrag der jeweiligen Bewohnerin/des jeweiligen Bewohners im Asylverwaltungsprogramm verknüpft sein.,Nein,,,0,0,0,0,,,,
P-SD-LM,A-SD-LM-03,X,,X,"A-SD-LM-03: Alle Objekte sollen mit unterschiedlichen Belegungsmodelle verschlagwortet werden können. Diese können erstellt, bearbeitet und gelöscht werden (z.B. „Sozialverträglich"", „Dichtbelegung"" oder „Pandemiekonform"").",Nein,,,0,0,0,0,,,,
P-SD-LM,A-SD-LM-04,X,,X,A-SD-LM-04: Alle Strukturelemente müssen sich in einer interaktiven Lagekarte darstellen lassen.,Nein,,,0,0,0,0,,,,
P-SD-LM,A-SD-LM-05,X,,X,A-SD-LM-05: Durch das Asylverwaltungsprogramm muss ein digitaler Lageplan zur Darstellung der Belegung erzeugt werden können. Darin müssen alle Objekt bis hinunter auf die Ebene von einzelnen Betten dargestellt werden. Darin müssen folgende Informationen darstellbar sein:,Nein,,,0,0,0,0,,,,
P-SD-LM,A-SD-LM-06,X,,X,A-SD-LM-06: In der Darstellung sollen verschiedene Informationen durch Formen und Farben codiert sein. Diese Zuordnung soll sich bei Bedarf ändern/einstellen lassen.,Nein,,,0,0,0,0,,,,
P-SD-LM,A-SD-LM-07,X,,X,A-SD-LM-07: Bei der Darstellung der Strukturelemente sollen die Symbole und Darstellungen in Form einer Legende erklärt werden.,Nein,,,0,0,0,0,,,,
P-SD-LM,A-SD-LM-08,X,,X,"A-SD-LM-08: Auf dem Lageplan soll sich, bei Bedarf, hervorheben lassen, wo sich in den Objekten besondere Räumlichkeiten (z.B. Isolationszimmer) befinden.",Nein,,,0,0,0,0,,,,
P-SD-LM,A-SD-LM-09,X,,X,"A-SD-LM-09: Dem/der Nutzer:in muss es möglich sein, aus dem Belegungsplan über die dort hinterlegen Bewohner:innen direkt in deren Bewohner:innen-Daten zu wechseln (z.B. Doppelklick auf die Person öffnet deren Personen-Stammdatenübersicht).",Nein,,,0,0,0,0,,,,
P-SD-LM,A-SD-LM-10,X,,X,A-SD-LM-10: Der digitale Lageplan soll sich in .xlsx und .pdf konvertieren und ausdrucken lassen.,Nein,,,0,0,0,0,,,,
P-SD-LM,A-SD-LM-11,X,,X,"A-SD-LM-11: Als höchstmögliches Strukturelement müssen Liegenschaftsobjekte (zum Beispiel zur Darstellung von AfAs) angelegt, bearbeitet und auch wieder gelöscht werden können, welche aus einem oder mehreren Gebäuden (vgl. A-SD-LM-12) bzw. Hallen (vgl. A-SD-LM-13) bestehen. Ein Liegenschaftsobjekt muss durch eine Bezeichnung, eine Anschrift, einen Status (aktiv/inaktiv) und ein Freitextfeld beschrieben sein.",X,,,0,0,0,0,,,,
P-SD-LM,A-SD-LM-12,X,,X,"A-SD-LM-12: Auf der zweiten Hierarchieebene müssen Strukturelement zur Darstellung von Gebäudeobjekten angelegt, bearbeitet und auch wieder gelöscht werden können, welche aus einem oder mehreren Zimmern (vgl. A-SD-LM-16) bestehen. Ein Gebäudeobjekt muss durch eine Bezeichnung, eine Anschrift, einen Status (aktiv/inaktiv) und ein Freitextfeld beschrieben sein.",X,,,0,0,0,0,,,,
P-SD-LM,A-SD-LM-13,X,,X,"A-SD-LM-13: Auf der zweiten Hierarchieebene müssen Strukturelement zur Darstellung von Hallenobjekten angelegt, bearbeitet und auch wieder gelöscht werden können, welche eine definierbare Anzahl an Betten enthalten. Ein Hallenobjekt muss durch eine Bezeichnung, eine Anschrift, einen Status (aktiv/inaktiv), eine Größe (in m²), die vorhandene Anzahl Betten, die Barrierefreiheit und ein Freitextfeld beschrieben sein.",Teilweise,,,0,0,0,0,,,,
P-SD-LM,A-SD-LM-14,X,,X,"A-SD-LM-14: Für jedes Hallenobjekt muss erfasst werden können, welche Art von Sanitäreinrichtungen vorhanden sind und in welcher Anzahl.",Teilweise,,,0,0,0,0,,,,
P-SD-LM,A-SD-LM-15,X,,X,A-SD-LM-15: Für jedes Hallenobjekt sollen der Hallenzustand bzw. vorhandene Mängel erfasst werden können.,Teilweise,,,0,0,0,0,,,,
P-SD-LM,A-SD-LM-16,X,,X,"A-SD-LM-16: Auf der letzten Hierarchieebene müssen Strukturelemente zur Darstellung von Räumen angelegt, bearbeitet und auch wieder gelöscht werden können. Jeder Raum muss durch eine Bezeichnung, einen Status (aktiv/inaktiv), eine Größe (in m²), eine Raum-Art ((Beleg-)Zimmer, Küche, WC, u.a.m.), die Barrierefreiheit und ein Freitextfeld beschrieben sein.",Teilweise,,,0,0,0,0,,,,
P-SD-LM,A-SD-LM-18,X,,X,"A-SD-LM-18: Handelt es sich bei einem Raum um ein (belegbares) Zimmer mit Betten, so muss dieses weiterhin durch die Anzahl an Betten beschrieben sein. Hinzu müssen bis zu drei Sonderausstattungen (z.B. Pflegebetten) in separaten Textfeldern erfasst werden können.",Teilweise,,,0,0,0,0,,,,
P-SD-LM,A-SD-LM-19,X,,X,A-SD-LM-19: Jedes Bett in einem Zimmer soll separat im Asylverwaltungsprogramm aufgeführt werden. Dadurch ist eine direkte Zuordnung einer Bewohner:in zu einem konkreten Bett möglich.,Nein,,,0,0,0,0,,,,
P-SD-LM,A-SD-LM-20,X,,X,"A-SD-LM-20: Jedes Zimmer muss sich einer Kategorie zuordnen lassen (insbesondere den Kategorien „Alleinstehende Männer"", „Alleinstehende Frauen"", „Familienunterbringung"", „Unbegleitete Minderjährige"" und „Isolationszimmer"").",Nein,,,0,0,0,0,,,,
P-SD-LM,A-SD-LM-21,X,,X,"A-SD-LM-21: Für jedes Zimmer muss erfasst werden können, welche Art von Sanitäreinrichtung vorhanden sind und ob diese mit einem Nachbarraum geteilt werden. Teilen sich zwei Zimmer eine Sanitäreinrichtung muss dies bei der Belegungsplanung mit einer Hinweismeldung angezeigt werden.",Nein,,,0,0,0,0,,,,
P-SD-BP,A-SD-BP-01,,Vereinf. Ad Hoc Belegung,"X
(vereinfachte adhoc-Belegung für Basisversion ausreichend)","A-SD-BP-01: Kommen neue Bewohner:innen in eine AfA soll das Asylverwaltungsprogramm bei der Zimmerzuweisung automatisiert Zuordnungs- und Umzugsvorschläge erstellen, aufgrund von Eigenschaften der bereits wohnhaften Bewohner:innen, insbesondere aufgrund von Nationalität, Volksgruppe, Geschlecht, Krankheiten, psychische Auffälligkeiten, Anzahl Kinder alleinerziehender Mütter und Religion.",Nein,,,15,20,15,20,X,3,,
P-SD-BP,A-SD-BP-02,,Vereinf. Ad Hoc Belegung,"X
(vereinfachte adhoc-Belegung für Basisversion ausreichend)",A-SD-BP-02: Die systemseitig vorgeschlagene Belegungsplanung muss durch den/die Nutzer:in manuell angepasst oder komplett verworfen und neu erstellt werden können.,Nein,,,0,0,0,0,,,,
P-SD-BP,A-SD-BP-03,,Vereinf. Ad Hoc Belegung,"X
(vereinfachte adhoc-Belegung für Basisversion ausreichend)",A-SD-BP-03: Isolationszimmer sollen für die Dauer der Isolation nicht bei der Belegungsplanung angezeigt werden.,Nein,,,0,0,0,0,,,,
P-SD-BP,A-SD-BP-10,,Vereinf. Ad Hoc Belegung,"X
(vereinfachte adhoc-Belegung für Basisversion ausreichend)","A-SD-BP-10: Im Asylverwaltungsprogramm sollen durch Nutzer:innen mit entsprechenden Rechten Kriterien hinterlegt werden können, nach denen verschiedene Bewohner:innen als inkompatibel gelten. Diese Kriterien sollen sich auf beliebige Attribute (Herkunftsland, Geschlecht, …) von Bewohner:innen beziehen, sowie deren Zugehörigkeit zu bestimmten vulnerablen Gruppen oder Sonderaufnahmen.",Nein,,,0,0,0,0,,,,
P-SD-BP,A-SD-BP-04,,Vereinf. Ad Hoc Belegung,"X
(vereinfachte adhoc-Belegung für Basisversion ausreichend)","A-SD-BP-04: Das Asylverwaltungsprogramm soll eine Warnmeldung erzeugen, wenn neu aufzunehmende Bewohner:innen in Zimmer untergebracht werden sollen bzw. innerhalb der letzten 3 Tage wurden, die in ihren Eigenschaften als inkompatibel eingeordnet sind.",Nein,,,0,0,0,0,,,,
P-SD-BP,A-SD-BP-05,,Vereinf. Ad Hoc Belegung,"X
(vereinfachte adhoc-Belegung für Basisversion ausreichend)","A-SD-BP-05: Es muss im Asylverwaltungsprogramm möglich sein, Bewohner:innen von einem Zimmer in ein anderes Zimmer (z.B. per Drag-and-Drop) zu verschieben.",Nein,,,0,0,0,0,,,,
P-SD-BP,A-SD-BP-06,,Vereinf. Ad Hoc Belegung,"X
(vereinfachte adhoc-Belegung für Basisversion ausreichend)",A-SD-BP-06: Die Änderung der Zimmerzuordnung muss in allen Ansichten in der Software automatisch aktualisiert werden.,X,,,0,0,0,0,,,,
P-SD-BP,A-SD-BP-07,,Vereinf. Ad Hoc Belegung,"X
(vereinfachte adhoc-Belegung für Basisversion ausreichend)",A-SD-BP-07: Das Asylverwaltungsprogramm soll die bisherige Zimmerzuweisung einer Bewohner:in historisieren.,Nein,,,3,5,0,0,,3,,
P-SD-BP,A-SD-BP-08,,Vereinf. Ad Hoc Belegung,"X
(vereinfachte adhoc-Belegung für Basisversion ausreichend)","A-SD-BP-08: Ist eine Verlegung von Bewohner:innen in andere Zimmer notwendig, so muss mit dem Asylverwaltungsprogramm eine entsprechende Verlegungsliste erstellt und versenden werden können. Ist ein:e Bewohner:in im neuen Zimmer angekommen, muss die Verlegung je Bewohner:in auf Knopfdruck bestätigt / in Kraft gesetzt werden können.",Nein,,,0,0,0,0,,,,
P-SD-BP,A-SD-BP-09,,Vereinf. Ad Hoc Belegung,"X
(vereinfachte adhoc-Belegung für Basisversion ausreichend)",A-SD-BP-09: Die Belegungen/Verlegungen sollen als .pdf-Datei exportierbar sein.,Nein,,,3,5,0,0,,2,,
P-SD-EG,A-SD-EG-02,,X,X,"A-SD-EG-02: Eingezogenes Eigentum der Bewohner:innen soll im Asylverwaltungsprogramm unter Angabe von Name, Vorname, ID-Nummer, Zimmernummer, Datum an dem das Eigentum eingezogen wurde und Objektbeschreibung als Verwahrgegenstände inventarisiert werden können.",Nein,,,3,5,0,0,,4,,
P-SD-EG,A-SD-EG-03,,X,X,"A-SD-EG-03: Wird durch den Wachdienst oder den Sozialdienst Eigentum der Bewohner:innen eingezogen und im Asylverwaltungsprogramm erfasst, soll für den Eigentümer über die in A-SYS-VD-02 beschriebene Vordruck-Funktion ein Nachweis erstellt können.",Nein,,,2,3,0,0,,3,,
P-SD-EG,A-SD-EG-04,,X,X,"A-SD-EG-04: Verlässt ein:e Bewohner:in die AfA, soll eine Meldung an die Nutzer:innen das Sozialen Diensts generiert werden, dass eingezogenes Eigentum zurück gegeben werden muss. Ein:e Nutzer:in des Sozialdienstes soll die Rückgabe bestätigen können.",Nein,,,3,5,0,0,,4,,
P-SD-EG,A-SD-EG-05,,X,X,"A-SD-EG-05: Wird durch den Wachdienst oder den Sozialdienst eingezogenes Eigentum zurückgegeben, soll über die in A-SYS-VD-02 beschriebene Vordruck-Funktion ein entsprechender Beleg erstellt werden können.",Nein,,,2,3,0,0,,2,,
P-SD-EG,A-SD-EG-06,,X,X,"A-SD-EG-06: Wird durch den Wachdienst oder den Sozialdienst eingezogenes Eigentum zurückgegeben, soll der bisherige Eintrag unter Angabe des Rückgabedatums auf erledigt gesetzt werden.",Nein,,,2,3,0,0,,2,,
P-SD-AE,A-SD-AE-01,X (ungetestet),"X (Test, Korrektur, Erweiterung)",X,"A-SD-AE-01: Während der Durchführung der Anwesenheitserfassung muss das Asylverwaltungsprogramm den Nutzer:innen ermöglichen, An- und Abwesenheiten von Bewohner:innen im Programm zu erfassen.",X,,,10,15,10,15,,3,,
P-SD-AE,A-SD-AE-02,X (ungetestet),"X (Test, Korrektur, Erweiterung)",X,A-SD-AE-02: Das Asylverwaltungsprogramm soll die Anwesenheitserfassung per Knopfdruck auf einem mobilen Endgerät (z.B. Tablett) ermöglichen.,Nein,,,0,0,0,0,,,,
P-SD-AE,A-SD-AE-03,X (ungetestet),"X (Test, Korrektur, Erweiterung)",X,"A-SD-AE-03: Wird für ein:e Bewohner:in die Abwesenheit erfasst, muss durch den Erfasser der Abwesenheit der Grund für die Abwesenheit erfasst werden können.",X,,,0,0,0,0,,,,
P-SD-AE,A-SD-AE-04,X (ungetestet),"X (Test, Korrektur, Erweiterung)",X,"A-SD-AE-04: Als mögliche Gründe für die Abwesenheit eines/einer Bewohnerin soll aus folgender Liste ausgewählt werden können: ""Kirchenasyl"", „Jugendhilfe"", „Haft"", „Verlassenserlaubnis"", „Frauenhaus"", „Krankenhausaufenthalt"". Weiterhin soll ein Freitext-Feld zur Verfügung stehen.",Teilweise,Es gibt keine Freitextfelder nur vorgefertigte Werte,Muss repariert werden. Nachbearbeitung der Rundgangliste ist noch nicht da - Drinnen lassen und reparieren ,0,0,0,0,,,,
P-SD-AE,A-SD-AE-05,X (ungetestet),"X (Test, Korrektur, Erweiterung)",X,"A-SD-AE-05: Liegt keine Begründung vor, warum die Bewohner:in abwesend ist, soll abschließend der Status ""Ohne Grund"" eingetragen werden können.",Nein,,,0,0,0,0,,,,
P-SD-AE,A-SD-AE-19,X (ungetestet),"X (Test, Korrektur, Erweiterung)",X,"A-SD-AE-19: Während der Anwesenheitserfassung soll durch das Asylverwaltungsprogramm angezeigt werden, wann ein:e Bewohner:in entweder zuletzt in einem Prozess im Asylverwaltungsprogramm erfasst wurde (gleichgültig ob durch Scannen des Bewohner:innen-Ausweises oder durch manuelle Auswahl, vgl. A-SYS-BA-03). Dies schließt die Erfassung bei früheren Anwesenheits-Erfassungen mit ein.",Teilweise,,,0,0,0,0,,,,
P-SD-AE,A-SD-AE-09,X (ungetestet),"X (Test, Korrektur, Erweiterung)",X,"A-SD-AE-09: Im Asylverwaltungsprogramm muss ein:e Bewohner:in mit dem Status „abgängig"" eingestuft werden können. Dieser Status muss durch Nutzer:innen manuell gesetzt werden können.",X,,,0,0,0,0,,,,
P-SD-AE,A-SD-AE-10,X (ungetestet),"X (Test, Korrektur, Erweiterung)",X,"A-SD-AE-10: Im Asylverwaltungsprogramm soll sich ein Zeitraum definieren lassen, ab dem der Status „abgängig"" automatisch erteilt wird.",Nein,,,0,0,0,0,,,,
P-SD-AE,A-SD-AE-11,X (ungetestet),"X (Test, Korrektur, Erweiterung)",X,"A-SD-AE-11: Wird eine Bewohner:in während dieses Zeitraums durchgängig mit dem Grund „ohne Grund"", „Haft"" oder „Kirchenasyl"" bei der Anwesenheitserfassung erfasst und wurde der/die Bewohner:in auch durch keinen anderen Prozess im Asylverwaltungsprogramm erfasst (gleichgültig ob durch Scannen des Bewohner:innen-Ausweises oder durch manuelle Auswahl, vgl. A-SYS-BA-03), muss die Person automatisch als abgängig eingestuft werden.",Nein,,,0,0,0,0,,,,
P-SD-AE,A-SD-AE-12,X (ungetestet),"X (Test, Korrektur, Erweiterung)",X,"A-SD-AE-12: Mehrfache Abgängigkeit einer Bewohner:in sollen durch das Asylverwaltungsprogramm automatisch zusammengerechnet und als kumulierter Wert während der Anwesenheitserfassung und in der Übersicht zu dem/der betreffenden Bewohner:in (vgl. A-SYS-BD-01) angezeigt werden. Die Information soll insbesondere für Nutzer:innen des Sozialen Dienstes als auch der Soziale Leistungen (vgl. Abschnitt 4.6 Anforderungen an das Modul „Soziale Leistungen"") einsehbar sein.",Teilweise,,,0,0,0,0,,,,
P-SD-AE,A-SD-AE-14,X (ungetestet),"X (Test, Korrektur, Erweiterung)",X,"A-SD-AE-14: Im Asylverwaltungsprogramm soll bei Bedarf eine Tagesübersicht von Bewohner:innen angezeigt werden können, die an diesem Tag neu als „abgängig"" oder neu nicht mehr als „abgängig"" erfasst wurden (z.B. in Kombination mit allen Bestandsveränderungen). Diese Übersicht soll (gem. A-SYS-BÜ-08) in Form einer .xlsx-Datei exportiert werden können.",X,,,0,0,0,0,,,,
P-SD-AE,A-SD-AE-15,X (ungetestet),"X (Test, Korrektur, Erweiterung)",X,"A-SD-AE-15: Das Asylverwaltungsprogramm soll es ermöglichen, Rundganglisten zu erstellen. Das sind Bewohner:innen-Übersichten (vgl. A-SYS-BÜ-01 und Folgende) in denen Bewohner:innen-Einträge einer AfA anhand der Reihenfolge der Zimmer angeordnet sind.",X,,,0,0,0,0,,,,
P-SD-AE,A-SD-AE-16,X (ungetestet),"X (Test, Korrektur, Erweiterung)",X,A-SD-AE-16: Die Rundgangliste sollen sich auf mobilen Endgeräten (Android und iOS) anzeigen und ausfüllen lassen.,Nein,,,0,0,0,0,,,,
P-SD-AE,A-SD-AE-17,X (ungetestet),"X (Test, Korrektur, Erweiterung)",X,"A-SD-AE-17: Während des Rundgangs werden Notizen zu Gesprächen mit Bewohner:innen festgehalten. Diese müssen unter Benutzung der Freitext-Dokumentations-Funktion (vgl. A-SYS-FD-01 und Folgende) im Asylverwaltungsprogramm festgehalten werden können - entweder direkt während des Rundgangs über ein mobiles Endgerät oder später, indem handschriftliche Notizen eines Rundgangs ohne mobiles Endgerät ins Asylverwaltungsprogramm übertragen werden. Die Erfassung auf dem mobilen Endgerät wird der Normalfall sein, während die Erfassung auf Papier als Fallback-Lösung fungiert.",Nein,,,0,0,0,0,,,,
P-SD-AE,A-SD-AE-18,X (ungetestet),"X (Test, Korrektur, Erweiterung)",X,"A-SD-AE-18: Während des Rundgangs wird der Zustand einzelner Räume erfasst, insbesondere Reparatur-Bedarfe. Diese sollen unter Benutzung der entsprechenden Funktion des Liegenschaftsmanagements (vgl. A-SD-LM-17) im Asylverwaltungsprogramm festgehalten werden können - entweder direkt während des Rundgangs über ein mobiles Endgerät oder später, indem handschriftliche Notizen eines Rundgangs ohne mobiles Endgerät ins Asylverwaltungsprogramm übertragen werden.",Nein,,,0,0,0,0,,,,
P-SD-SM,A-SD-SM-01,X,,X,"A-SD-SM-01: Im Asylverwaltungsprogramm müssen durch Nutzer:innen mit entsprechenden Rechten verschiedene Artikel (Jeans, Jacke, Kochgeschirr, Medikament) angelegt werden können. Zu einem Artikel werden Artikelnummer, Beschreibung, Kosten, Leih-Gegenstand (ja/nein) erfasst.",Nein,,,0,0,0,0,,,,
P-SD-SM,A-SD-SM-02,X,,X,A-SD-SM-02: Die im Asylverwaltungsprogramm angelegten Artikel sollen mit Barcodes assoziiert werden können.,Nein,,,0,0,0,0,,,,
P-SD-SM,A-SD-SM-03,X,,X,A-SD-SM-03: Die Erfassung des ausgegebenen Artikels soll per Barcode-Scanner oder durch manuelle Auswahl erfolgen können.,Nein,,,0,0,0,0,,,,
P-SD-SM,A-SD-SM-04,X,,X,A-SD-SM-04: Das Asylverwaltungsprogramm soll mit allen gängigen Barcodescannern zusammenarbeiten.,Nein,,,0,0,0,0,,,,
P-SD-SM,A-SD-SM-06,X,,X,"A-SD-SM-06: Das Asylverwaltungsprogramm solle die Mitarbeitenden in den Prozessen P-AU-LP im Kapitel 4.2.6 und P-AU-VP im Kapitel 4.2.4 darauf hinweisen, wenn für eine Bewohner:in abzusehen ist, dass diese die AfA verlässt (Verlegung, Verteilung).",Nein,,,2,3,0,0,,4,,
P-SD-SM,A-SD-SM-07,X,,X,"A-SD-SM-07: Verlässt eine Bewohner:in die AfA, soll eine Meldung generiert werden, dass ausgegebene Leih-Gegenstände, welche auf dem Sachmittelkonto (vgl. A-SD-SM-13) gelistet sind, zurück gegeben werden müssen.",Nein,,,2,3,0,0,,4,,
P-SD-SM,A-SD-SM-08,X,,X,"A-SD-SM-08: Bei Rückgabe der ausgegebenen Leih-Gegenstände soll die Belastung auf dem Sachmittelkonto (vgl. A-SD-SM-13) ausgetragen werden. In der Leistungsakte (vgl. Abschnitt 4.1.15 Leistungsakte) soll der entsprechende Posten fortan mit dem Wert 0,00€ geführt werden.",Nein,,,5,8,0,0,,6,,
P-SD-SM,A-SD-SM-09,,X,X,A-SD-SM-09: Für jede:n Bewohner:in muss eine Leistungsakte erstellt werden.,Teilweise,In Asyl4Win muss es sich zusammengebastelt werden. ,"Vorgesehen war das ""Knöpfchen"" ",5,8,5,8,,3,,
P-SD-SM,A-SD-SM-10,,X,X,A-SD-SM-10: In der Leistungsakte erfasste Taschengeldzahlungen (vgl. P-SL-EA) sollen gesondert angezeigt und ausgewertet werden können (Taschengeldkonto).,Teilweise,Kann momentan gesonder erstellt werden und eigneltich Teil von SM-09,Muss rein,3,5,3,5,,2,,
P-SL-ED,A-SL-ED-01,,,X,"A-SL-ED-01: Wird eine Einmalzahlung durch die Bewohner:in zur (teilweisen) Begleichung eines bestehenden finanziellen Anspruchs (insbesondere Pfand-Forderungen oder Schadensersatzforderung) durchgeführt, muss sich dies im Asylverwaltungsprogramm erfassen lassen.",X,,,2,3,2,3,,3,,
P-SL-ED,A-SL-ED-04,,,\,A-SL-ED-04: Die Nutzer:in soll mit Hilfe der Vordruckfunktion (vgl. A-SYS-VD-02) im Asylverwaltungsprogramm eine Quittung für die geleisteten Zahlungen erstellen können.,Nein,Doch ja wegen der Mail vom 28.04.2026 09:59 von Dr. Bruch 1.) Punkt,,0,0,2,3,,,,
